GroupM,Sign,NumGene_CL,MinSigRate,AvgSigRate
RCFR_AC$^{†1}$,Negative,100,0.17880000000000001,0.45929999999999993
RCFR_AC$^{†1}$,Negative,300,0.20719999999999997,0.44076666666666664
RCFR_AC$^{†1}$,Negative,500,0.22016,0.44521999999999995
RCFR_AC$^{†1}$,Negative,700,0.2174285714285714,0.44248571428571426
RCFR_AC$^{†1}$,Negative,900,0.2224,0.4382777777777777
RCFR_AC$^{†1}$,Positive,100,0.3296,0.47859999999999997
RCFR_AC$^{†1}$,Positive,300,0.26973333333333327,0.4254666666666667
RCFR_AC$^{†1}$,Positive,500,0.25544,0.42702
RCFR_AC$^{†1}$,Positive,700,0.24862857142857137,0.4314285714285714
RCFR_AC$^{†1}$,Positive,900,0.24346666666666664,0.4296555555555555
RCFR_AC$^{†2}$,Negative,100,0.13693928649879822,0.4120475848189349
RCFR_AC$^{†2}$,Negative,300,0.16931639345896557,0.42658511480153793
RCFR_AC$^{†2}$,Negative,500,0.19955808854692494,0.4407607637815446
RCFR_AC$^{†2}$,Negative,700,0.20600847286764515,0.4371025125872901
RCFR_AC$^{†2}$,Negative,900,0.2123129640893846,0.43853113770646124
RCFR_AC$^{†2}$,Positive,100,0.2610310533740489,0.4246060404866971
RCFR_AC$^{†2}$,Positive,300,0.32145983026972447,0.4551043287792984
RCFR_AC$^{†2}$,Positive,500,0.34111839876611005,0.4694026649347961
RCFR_AC$^{†2}$,Positive,700,0.35984233073002636,0.4795082048770666
RCFR_AC$^{†2}$,Positive,900,0.3606400166276188,0.48804476177122513
RCFR_AC$^{†3}$,Negative,100,0.3053830227743271,0.5995666210478297
RCFR_AC$^{†3}$,Negative,300,0.30512460426651955,0.5958120838092548
RCFR_AC$^{†3}$,Negative,500,0.2605073134967022,0.512148846252577
RCFR_AC$^{†3}$,Negative,700,0.33221230700896004,0.6044683393251609
RCFR_AC$^{†3}$,Negative,900,0.3415201148285315,0.605360986605125
RCFR_AC$^{†3}$,Positive,100,0.0008,0.0475
RCFR_AC$^{†3}$,Positive,300,0.0006666666666666,0.04129999999999996
RCFR_AC$^{†3}$,Positive,500,0.00111289393828982,0.035837785727083175
RCFR_AC$^{†3}$,Positive,700,0.00069191888474922,0.03642487250707814
RCFR_AC$^{†3}$,Positive,900,0.00066435592444124,0.03580713109141012
