Sign,NumGene_CL,MinSigRate,AvgSigRate
Negative,100,0.22467673274536148,0.4911065783003332
Negative,300,0.2495354417419497,0.49273418962720744
Negative,500,0.2665885798579097,0.4985521150823659
Negative,700,0.26828927368120753,0.4958936482114552
Negative,900,0.2744761381830061,0.4970250563063833
Positive,100,0.18834184644426913,0.3119383519850724
Positive,300,0.19843265622123063,0.3084097980048361
Positive,500,0.19944562775541103,0.3121390508638472
Positive,700,0.2049523367530596,0.3190207190882691
Positive,900,0.2065089654194723,0.3213395893751973
